feature,tfidf_mean,tfidf_std
apoyar,0.011740939856478805,0.04027854542868667
académico,0.011716524227782415,0.037330501628163155
as,0.01170071950155879,0.06071121028377067
aplicaciones,0.011632057891880085,0.03456640741160646
profesional ingeniero,0.011466984831890084,0.03995464989921394
formación permite,0.011414677952459665,0.0363543332184312
desenvolverse,0.011401288758646834,0.036349157764715465
planificación,0.01139234609402657,0.04395183511536543
quehacer profesional,0.011245450109306252,0.04092289730613902
santiago,0.011239373259940646,0.03854626866845636
privado,0.011201661293814568,0.038097628751353564
modelos,0.0111299795367984,0.040395879737651644
asimismo,0.011112596273349824,0.03253678508334535
oportunidades,0.011093603124710636,0.03534450449670355
ciclo vida,0.011074104511849491,0.043130832076587786
análisis datos,0.011057730236956909,0.0364144341914362
fin,0.010898993608622906,0.03654283839808804
región,0.01088602777702695,0.04117532569183596
integrales,0.010796785524041865,0.03928902757833277
gestiona,0.010772738996130564,0.038131280244840235
promoción,0.010734203550922536,0.03737958788261343
implementar soluciones,0.010724609752976491,0.034002348462293074
aplica,0.01069055293759269,0.03902020929334462
capacidades,0.010602720461677964,0.034770613895026135
operar,0.010509495377157554,0.03299925165991891
proyectos ingeniería,0.010444674629648112,0.034204013781489774
sede,0.010441573008905228,0.04102155970100495
lenguajes programación,0.010376730070268023,0.03786563477274434
desempeña,0.009988191678275232,0.03893911379256001
implementa,0.009801069763493247,0.034885193544425104
énfasis,0.009791971836766934,0.03905248280140151
carreras,0.009785231921098363,0.050055920061326926
desarrollo sostenible,0.009724609320988876,0.03365412947632558
estrategias,0.009697334985883,0.03439669840196794
estándares calidad,0.00966837305469401,0.035102995949803636
ejercicio,0.009530819522730397,0.03045569251679123
asociados,0.009341448016737261,0.03059068998224977
arancel,0.009310733517374598,0.04307137982628199
normativa,0.009286641691620953,0.03840403679652335
negocio,0.009160545143550535,0.03299058446082376
25,0.008695781313915225,0.03952167596090104
compromiso ético,0.008474523823470803,0.030738698723083532
educación,0.008189660928407233,0.03296316306618558
vanguardia,0.008176259961032563,0.03255810810248536
resolución problemas,0.00814728685269361,0.028028221609844552
reconoce,0.007942565327073957,0.03231182299446872
años,0.00782069482064118,0.0357056550167785
experiencia,0.007227617745075099,0.032529978141195216
universitario,0.007200077251403831,0.035805928168023825
normativa legal,0.006004480335944928,0.028034349716789947
legal,0.006004480335944928,0.028034349716789947
legal vigente,0.006004480335944928,0.028034349716789947
liderando,0.005611670118326905,0.026135920914751386
