feature,tfidf_mean,tfidf_std
tic,0.01377692896777176,0.04366182246344552
liderar equipos,0.01356790821254323,0.04019047582012265
básicas ciencias,0.013540808588587848,0.03649379657092693
técnicas,0.013502633718176654,0.04041326355139768
investigación,0.013466608462481936,0.04115584198022328
admisión,0.01346186562637537,0.07301947951382554
santiago,0.013265988082661948,0.04145111959362506
formativo,0.013247688173516006,0.04344202058803918
analítica,0.013241723564321494,0.043332835846083516
responsable,0.013234199484470034,0.040227376690016005
generando,0.013096707396773223,0.04745036117781259
nacional,0.012919609015524929,0.04721854939238791
ingeniero ejecución,0.01291225127067874,0.045423521274467346
puede,0.012884005457528222,0.050366759370063886
ingeniera civil,0.012606510264998969,0.05004470997459546
año,0.01258237937261985,0.05180177991003017
evaluar gestionar,0.01253213519200039,0.042158140541582394
constante,0.012399334810803958,0.03562471579301936
siendo,0.012275096172330776,0.03965041162345816
quehacer profesional,0.012250083859314498,0.03622614626041188
problemas complejos,0.012174669166207824,0.03860141245296156
disciplina,0.0121559761060344,0.038330689090986574
buenas,0.012138912300840085,0.04083931292642312
especialidad,0.012021582484692851,0.046615900175434315
resolución,0.01185981560936208,0.04819928238471564
junto,0.011852931274896015,0.04021373965194069
2026,0.011775629153448508,0.06384023268744739
10,0.011648836196469196,0.03508489512533243
negocio,0.0116431919534551,0.03898313519564731
ciclo,0.01164141790624002,0.044127564793520035
formación permite,0.011619328980041055,0.03646836841148527
técnica,0.011541601486926472,0.040723883783976005
internacionales,0.011390933546560901,0.05439882161511086
nuevas,0.011374393057148099,0.03904233292305661
acreditación,0.011336497170532794,0.05661473504127699
desempeño,0.011310187828110751,0.03157419000317096
concebir,0.01100178905352689,0.04221685409790505
integrales,0.010958777594138835,0.039689752476012544
región,0.0109036504249339,0.040430220331899386
problemáticas,0.010831225018474364,0.03562420229598177
crítica,0.010676759110849204,0.03492977583127024
comprometido,0.010670183301205437,0.03639306597470057
estándares calidad,0.01064182674024253,0.03778191137774589
productivo,0.010592833858982995,0.0434144061446615
instituciones,0.010409671273002248,0.03567565409134378
ambiental,0.010402364639874042,0.036444622652270525
prácticas industria,0.010382819448845188,0.039422553265196066
independiente,0.010335163705365922,0.03519163911315177
ejecución informática,0.010166503614015054,0.040146023948608896
planificar,0.010134777802630711,0.037978947461514236
promoción,0.010095407351681981,0.03567954178710158
laboral,0.009991029066554233,0.033462594072803595
desarrollo sostenible,0.009591498433968565,0.030811275661599052
académico,0.00945254564824186,0.03357810090719734
vanguardia,0.00932936738752362,0.038180763526853956
análisis datos,0.009287354957191078,0.033646521852220564
actualización,0.009229429915135284,0.02909347526727089
vida según,0.00917417702844935,0.03557710827137374
integración,0.009098419682070032,0.03861896069520776
crear,0.008932404352634739,0.03608525399055939
interdisciplinarios,0.00882727067623649,0.02867947564001445
organizaciones públicas,0.008725179094491385,0.04030053845200441
técnico,0.008712920647949223,0.03548273523026872
santa maría,0.00819965234651553,0.03981713733578656
fin,0.008003711942745843,0.030126966993250622
aplica,0.007854735722005167,0.030566877171866992
mención,0.00742391278825514,0.03038551776335368
institucional,0.006916838502458073,0.03793831950491852
técnica federico,0.006648016429476566,0.03129944006623283
magíster,0.006503754046106152,0.03533465242645562
normativa legal,0.006139059207244657,0.02831292261577727
legal,0.006139059207244657,0.02831292261577727
legal vigente,0.006139059207244657,0.02831292261577727
industrial,0.005918986931506094,0.03265988355887986
educación,0.0054120247960250676,0.030715384809016262
empresariales,0.005097799894370412,0.03148223672851133
superior,0.004851637629377341,0.027417726092003606
in,0.0039590910553391435,0.02209206542565381
doctor,0.0036305801401303453,0.020884946446059836
phd,0.0036305801401303453,0.020884946446059836
magíster ciencias,0.0034220797583461985,0.019449489921274075
