fold_externo,condicion,feature,idf
1,Solo_titulos,egreso,2.285198244248522
1,Solo_titulos,ejercicio,2.904237452654745
1,Solo_titulos,ello,3.0583881324820035
1,Solo_titulos,emergentes,3.0583881324820035
1,Solo_titulos,emprender,3.0583881324820035
1,Solo_titulos,emprendimiento,2.6529230243738393
1,Solo_titulos,empresarial,3.463853240590168
1,Solo_titulos,empresariales,3.751535313041949
1,Solo_titulos,empresas,2.4522523289116878
1,Solo_titulos,enfoque,2.7707060600302227
1,Solo_titulos,entorno,2.547562508716013
1,Solo_titulos,equipo,2.6529230243738393
1,Solo_titulos,equipos,1.672093771362113
1,Solo_titulos,equipos multidisciplinarios,2.547562508716013
1,Solo_titulos,equipos trabajo,2.3652409519220585
1,Solo_titulos,especialidad,2.904237452654745
1,Solo_titulos,estrategias,3.0583881324820035
1,Solo_titulos,estudiantes,3.463853240590168
1,Solo_titulos,estudios,2.904237452654745
1,Solo_titulos,está,3.2407096892759584
1,Solo_titulos,estándares,2.6529230243738393
1,Solo_titulos,estándares calidad,3.463853240590168
1,Solo_titulos,evaluación,3.0583881324820035
1,Solo_titulos,evaluar,2.6529230243738393
1,Solo_titulos,evaluar gestionar,3.463853240590168
1,Solo_titulos,evolución,2.7707060600302227
1,Solo_titulos,experiencia,3.463853240590168
1,Solo_titulos,fin,2.904237452654745
1,Solo_titulos,forma,1.959775843813894
1,Solo_titulos,formación,1.672093771362113
1,Solo_titulos,formación ciencias,2.904237452654745
1,Solo_titulos,formar,2.904237452654745
1,Solo_titulos,formativo,3.2407096892759584
1,Solo_titulos,generación,3.0583881324820035
1,Solo_titulos,generar,2.904237452654745
1,Solo_titulos,genéricas,3.0583881324820035
1,Solo_titulos,gestiona,3.463853240590168
1,Solo_titulos,gestionar,2.0169342576538423
1,Solo_titulos,gestionar proyectos,3.0583881324820035
1,Solo_titulos,gestión,1.672093771362113
1,Solo_titulos,gestión información,3.463853240590168
1,Solo_titulos,gestión proyectos,2.547562508716013
1,Solo_titulos,global,2.904237452654745
1,Solo_titulos,habilidades,2.2110902720948
1,Solo_titulos,hardware,2.7707060600302227
1,Solo_titulos,herramientas,2.142097400607849
1,Solo_titulos,herramientas tecnológicas,3.2407096892759584
1,Solo_titulos,identificar,2.904237452654745
1,Solo_titulos,idioma,2.7707060600302227
1,Solo_titulos,idioma inglés,2.7707060600302227
1,Solo_titulos,impacto,2.904237452654745
1,Solo_titulos,implementa,3.463853240590168
1,Solo_titulos,implementación,2.547562508716013
1,Solo_titulos,implementar,1.959775843813894
1,Solo_titulos,implementar operar,3.0583881324820035
1,Solo_titulos,implementar soluciones,2.904237452654745
1,Solo_titulos,industria,2.7707060600302227
1,Solo_titulos,información,1.2666286632539485
1,Solo_titulos,información comunicaciones,2.7707060600302227
1,Solo_titulos,información comunicación,2.6529230243738393
1,Solo_titulos,informática,1.4828517717235845
1,Solo_titulos,informática universidad,2.547562508716013
1,Solo_titulos,informáticas,2.3652409519220585
1,Solo_titulos,informático,3.0583881324820035
1,Solo_titulos,informáticos,1.714653385780909
1,Solo_titulos,ingeniero,1.714653385780909
1,Solo_titulos,ingeniero civil,2.6529230243738393
1,Solo_titulos,ingenieros,3.0583881324820035
1,Solo_titulos,ingeniería,1.4161603972249124
1,Solo_titulos,ingeniería software,2.285198244248522
1,Solo_titulos,inglés,2.547562508716013
1,Solo_titulos,innovación,1.8056251639866356
1,Solo_titulos,innovación tecnológica,3.0583881324820035
1,Solo_titulos,innovador,3.463853240590168
1,Solo_titulos,innovadoras,2.547562508716013
