fold_externo,fold_interno,feature,idf
1,2,integración,2.8562979903656265
1,2,integral,2.163150809805681
1,2,integrales,3.0794415416798357
1,2,integrar,2.386294361119891
1,2,inteligencia,2.268511325463507
1,2,inteligencia artificial,2.386294361119891
1,2,interdisciplinarios,2.6739764335716716
1,2,internacional,3.0794415416798357
1,2,internacionales,3.367123614131617
1,2,investigación,2.519825753744413
1,2,jefe,2.6739764335716716
1,2,junto,3.0794415416798357
1,2,laboral,3.0794415416798357
1,2,legal,3.0794415416798357
1,2,legal vigente,3.0794415416798357
1,2,lidera,3.0794415416798357
1,2,lidera proyectos,3.367123614131617
1,2,liderando,3.0794415416798357
1,2,liderando equipos,3.367123614131617
1,2,liderar,2.519825753744413
1,2,liderar equipos,2.519825753744413
1,2,liderazgo,2.386294361119891
1,2,logro,3.0794415416798357
1,2,malla,3.367123614131617
1,2,manejo,2.8562979903656265
1,2,manera,2.163150809805681
1,2,mantención,2.8562979903656265
1,2,marco,3.0794415416798357
1,2,mediante,3.0794415416798357
1,2,medio,2.519825753744413
1,2,medio ambiente,2.8562979903656265
1,2,mejora,3.0794415416798357
1,2,mejora procesos,3.367123614131617
1,2,metodologías,2.6739764335716716
1,2,modelos,2.8562979903656265
1,2,multidisciplinarios,1.9808292530117262
1,2,mundo,2.386294361119891
1,2,nacional,2.519825753744413
1,2,necesidades,1.9808292530117262
1,2,negocio,2.8562979903656265
1,2,negocios,2.519825753744413
1,2,nivel,2.6739764335716716
1,2,normativa,2.8562979903656265
1,2,normativa legal,3.0794415416798357
1,2,nuevas,2.6739764335716716
1,2,objetivos,3.0794415416798357
1,2,operar,2.8562979903656265
1,2,oportunidades,2.8562979903656265
1,2,organizacional,3.0794415416798357
1,2,organizacionales,2.519825753744413
1,2,organizaciones,1.826678573184468
1,2,organización,2.163150809805681
1,2,orientado,3.0794415416798357
1,2,otorga,2.8562979903656265
1,2,partir,3.367123614131617
1,2,país,2.6739764335716716
1,2,pensamiento,2.8562979903656265
1,2,pensamiento crítico,3.0794415416798357
1,2,perfil,2.163150809805681
1,2,perfil egreso,2.519825753744413
1,2,permanente,2.519825753744413
1,2,permitan,2.6739764335716716
1,2,permite,2.0678406300013563
1,2,permiten,2.8562979903656265
1,2,permitirá,3.0794415416798357
1,2,personas,2.268511325463507
1,2,perspectiva,3.0794415416798357
1,2,plan,2.8562979903656265
1,2,planificación,3.0794415416798357
1,2,planificar,2.8562979903656265
1,2,plataformas,2.6739764335716716
1,2,podrá,3.0794415416798357
1,2,posee,2.0678406300013563
1,2,postgrado,3.367123614131617
1,2,presencial,3.0794415416798357
1,2,principios,2.8562979903656265
1,2,privadas,2.8562979903656265
1,2,privado,2.6739764335716716
1,2,problemas,1.6931471805599454
1,2,problemas complejos,2.6739764335716716
1,2,problemáticas,2.519825753744413
1,2,procesos,1.9007865453381898
1,2,productivo,3.0794415416798357
1,2,productos,2.268511325463507
1,2,profesional,1.3302416868705769
1,2,profesionales,1.9007865453381898
1,2,programa,2.268511325463507
1,2,propios,2.8562979903656265
1,2,proyectos,1.1698990367953974
1,2,proyectos informáticos,2.519825753744413
1,2,proyectos tecnologías,3.0794415416798357
1,2,proyectos tecnológicos,2.6739764335716716
1,2,prácticas,2.8562979903656265
1,2,puede,3.0794415416798357
1,2,públicas,2.8562979903656265
1,2,públicas privadas,2.8562979903656265
1,2,público,2.8562979903656265
1,2,quehacer,3.0794415416798357
1,2,recursos,2.386294361119891
1,2,redes,2.386294361119891
1,2,región,2.8562979903656265
1,2,relacionados,2.8562979903656265
1,2,requerimientos,3.367123614131617
1,2,resolución,2.8562979903656265
1,2,resolución problemas,3.0794415416798357
1,2,resolver,1.826678573184468
1,2,resolver problemas,2.0678406300013563
1,2,responsabilidad,2.0678406300013563
1,2,responsabilidad social,2.163150809805681
1,2,responsable,2.8562979903656265
1,2,resultados,3.367123614131617
1,2,riesgos,2.8562979903656265
1,2,santiago,3.0794415416798357
1,2,satisfacer,3.0794415416798357
1,2,sector,2.519825753744413
1,2,sede,3.367123614131617
1,2,seguridad,2.163150809805681
1,2,según,3.0794415416798357
1,2,sello,2.8562979903656265
1,2,semestres,3.0794415416798357
1,2,sentido,2.6739764335716716
1,2,serena,3.367123614131617
1,2,servicio,3.0794415416798357
1,2,servicios,1.9808292530117262
1,2,será,3.0794415416798357
1,2,siendo,2.8562979903656265
1,2,siendo capaz,3.0794415416798357
1,2,siguiendo,3.367123614131617
1,2,sistemas,1.3302416868705769
1,2,sistemas computacionales,2.6739764335716716
1,2,sistemas información,2.268511325463507
1,2,sistemas informáticos,2.386294361119891
1,2,sistemas redes,3.0794415416798357
1,2,sistémica,3.367123614131617
1,2,social,1.5753641449035618
1,2,social productivo,3.367123614131617
1,2,sociales,2.6739764335716716
1,2,sociales ambientales,3.0794415416798357
1,2,sociedad,2.268511325463507
1,2,software,1.3746934494414107
1,2,software hardware,2.8562979903656265
1,2,soluciones,1.4212134650763035
1,2,soluciones informáticas,3.0794415416798357
1,2,soluciones innovadoras,3.0794415416798357
1,2,soluciones tecnológicas,2.519825753744413
1,2,solución,3.0794415416798357
1,2,soporte,3.367123614131617
1,2,sostenible,2.519825753744413
1,2,superior,3.367123614131617
1,2,sustentable,3.0794415416798357
1,2,sólida,2.268511325463507
1,2,sólida formación,2.386294361119891
1,2,sólidos,3.0794415416798357
1,2,sólidos conocimientos,3.0794415416798357
1,2,tecnología,2.8562979903656265
1,2,tecnologías,1.2076393647782446
1,2,tecnologías información,1.4700036292457357
1,2,tecnológica,2.268511325463507
1,2,tecnológicas,2.163150809805681
1,2,tecnológico,2.8562979903656265
1,2,tecnológicos,2.0678406300013563
