fila_datos,grado,PCA_1,PCA_2,LDA_1,LDA_2,indice_fuente,universidad,carrera,url
26,Informática,-0.26877341986109876,-0.31008187125862635,-2.5651990394509125,-0.062099230695775984,26,Universidad Catolica del Norte,Ingenieria en Computacion e Informatica,https://admision.ucn.cl/carreras/tecnologia-computacion/ingenieria-en-computacion-e-informatica/
27,Civil,-0.3120814402505402,-0.3036712557727451,3.2743878118278333,0.30489885889427276,27,Universidad Catolica del Norte,Ingenieria Civil en Computacion e Informatica,https://admision.ucn.cl/carreras/tecnologia-computacion/ingenieria-civil-en-computacion-e-informatica/
28,Civil,0.12432061856017977,0.0765674568474863,-2.004237069180431,-2.3767628182806395,28,Universidad de la Santisima Concepcion,Ingenieria Civil Informatica,https://ingenieria.ucsc.cl/carreras/ingenieria-civil-informatica/
29,Ejecución,0.036412218388849525,0.1922763429685451,-0.31107484488869297,-4.457939862977494,29,Universidad de la Santisima Concepcion,Ingenieria de Ejecucion en Informatica,https://it.ucsc.cl/carreras/ingenieria-de-ejecucion-en-informatica/
30,Civil,-0.09260689663598548,0.025138323506493174,-1.9442347353257305,0.5640639871342826,30,Universidad Catolica de Temuco,Ingenieria Civil en Informatica,https://admision.uct.cl/ing-civil-informatica/
31,Informática,0.09763125817923594,0.04630657343523295,2.2535371183256885,-2.375922285931635,31,Universidad de las Américas,Ingenieria en Informatica,https://ingenieria.udla.cl/carreras/ingenieria-en-informatica/
32,Informática,0.15200837243279045,0.2352032263786056,2.2719321016428267,0.551494880216767,32,Universidad Andres Bello,Ingenieria en Computacion e Informatica,https://admision.unab.cl/carreras/ingenieria-en-computacion-e-informatica/
33,Civil,-0.15982564655385398,-0.07177806914813244,-2.082709188096307,1.629205417246285,33,Universidad Autonoma de Chile,Ingenieria Civil Informatica,https://admision.uautonoma.cl/carreras/ingenieria-civil-informatica/
34,Informática,0.1594769874996552,-0.1252971952854688,2.753011082158082,0.28523594534703184,34,Universidad Autonoma de Chile,Ingenieria en Informatica,https://admision.uautonoma.cl/carreras/ingenieria-en-informatica-online-regular/
35,Civil,-0.07632676065113964,-0.08425838260394626,-2.119276243983652,-0.3979060618700409,35,Universidad Central de Chile,Ingenieria Civil en Computacion e Informatica,https://admision.ucentral.cl/carrera/ingenieria-civil-en-computacion-e-informatica/
36,Informática,0.1492581640028741,-0.17754099487716563,2.6649846876526735,0.3047149009795559,36,Universidad Central de Chile,Ingenieria en Informatica y Sistemas Inteligentes,https://advance.ucentral.cl/programas/ingenieria-en-informatica-y-sistemas-inteligentes/
37,Informática,-0.02160856280629695,0.18878596275501053,2.574176510228788,-0.19516805975925722,37,Universidad Mayor,Ingenieria en Informatica,https://advance.umayor.cl/educacion-online/ingenieria-informatica-plan-regular?utm_source=google&utm_medium=cpa&utm_campaign=SNB_AD_00807156_ON_20267&utm_content=RSA1_ex&utm_term=&gad_source=1&gad_campaignid=23076000607&gbraid=0AAAAADtiOMI1iMfo5ZY2WadRR71Q1zVIJ&gclid=CjwKCAjwhqfPBhBWEiwAZo196q-QOm6zr2L98M0Gp4yAELJa9zXl4ci5MQzLJJrfvV5vChRPKrEUeBoCY6wQAvD_BwE
38,Civil,-0.22851783953996924,-0.0696856118655756,-2.117282474179985,0.7941422311838219,38,Universidad Mayor,Ingenieria Civil en Computacion e Informatica,https://www.umayor.cl/um/carreras/ingenieria-civil-en-computacion-e-informatica-santiago
