Fold,feature,idf
2,sistemas informáticos,2.386294361119891
2,sistemas redes,3.2617630984737906
2,social,1.826678573184468
2,sociales,2.791759469228055
2,sociedad,2.6739764335716716
2,software,1.538996500732687
2,soluciones,1.4054651081081644
2,soluciones computacionales,3.2617630984737906
2,soluciones eficientes,3.2617630984737906
2,soluciones informáticas,2.791759469228055
2,soluciones innovadoras,2.9252908618525773
2,soluciones integrales,3.4849066497880004
2,soluciones software,3.0794415416798357
2,soluciones tecnológicas,2.6739764335716716
2,sostenible,2.791759469228055
2,superior,3.2617630984737906
2,sólida,2.5686159179138452
2,sólida formación,2.6739764335716716
2,sólidos,3.2617630984737906
2,tecnología,2.791759469228055
2,tecnologías,1.3158529494184772
2,tecnologías información,1.5753641449035618
2,tecnológica,2.163150809805681
2,tecnológicas,2.3062516534463544
2,tecnológico,2.6739764335716716
2,tecnológicos,2.386294361119891
2,telecomunicaciones,3.0794415416798357
2,tic,3.2617630984737906
2,toma,2.791759469228055
2,toma decisiones,2.791759469228055
2,trabajar,2.791759469228055
2,trabajo,1.9267620317414504
2,transformación,2.3062516534463544
2,transformación digital,2.47330573810952
2,través,2.386294361119891
2,técnicas,2.791759469228055
2,técnico,3.0794415416798357
2,técnicos,2.9252908618525773
2,título,3.0794415416798357
2,título profesional,3.2617630984737906
2,universidad,1.5753641449035618
2,universidad católica,3.0794415416798357
2,universitario,3.772588722239781
2,uso,2.47330573810952
2,utilizando,3.0794415416798357
2,utilizando herramientas,3.772588722239781
2,vacantes,3.4849066497880004
2,valor,2.6739764335716716
2,valores,3.2617630984737906
2,vanguardia,3.4849066497880004
2,ver,3.4849066497880004
2,vida,2.6739764335716716
2,vida según,3.4849066497880004
2,vigente,3.4849066497880004
2,visión,2.386294361119891
2,visión cristiana,3.4849066497880004
2,volúmenes,3.2617630984737906
2,ámbito,2.9252908618525773
2,ámbitos,3.0794415416798357
2,área,2.5686159179138452
2,áreas,2.5686159179138452
2,ética,2.09861228866811
2,ético,2.5686159179138452
2,éticos,3.0794415416798357
3,10,3.1000608288825715
3,2026,3.505525936990736
3,académico,3.1000608288825715
3,acciones,3.505525936990736
3,acreditación,3.505525936990736
